"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "JSON", "HTML", "YAML", "XML", "Vue", "SCSS", "comment", "blank", "total"
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\login\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 221, 0, 4, 18, 243
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\newData\equipment.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 490, 0, 24, 4, 518
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\newData\production.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 256, 0, 1, 2, 259
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 1, 80
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\form.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 347, 0, 2, 1, 350
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\list.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 96, 0, 2, 1, 99
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 342, 0, 4, 1, 347
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\factoryDetails.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 258, 0, 3, 1, 262
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\factoryList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 67
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\list.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 88
"c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\unsettledList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 2, 66
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\.eslintrc.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\Breadcrumb.spec.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 98
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\Hamburger.spec.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\SvgIcon.spec.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\formatTime.spec.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\param2Obj.spec.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\parseTime.spec.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\validate.spec.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\zy\Desktop\pentium_smart_admin\vue.config.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 131
"Total", "-", 2152, 5, 133, 73, 16, 10, 11, 7520, 596, 551, 555, 11622
